Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Mainetti, L., Mighali, V., Patrono, L., Rametta, P., Stefanizzi, M.L.","12752000100;35321280700;6507173572;36975991300;35276078400;","An IoT-Aware system for elderly monitoring",2017,"RTSI 2017 - IEEE 3rd International Forum on Research and Technologies for Society and Industry, Conference Proceedings",,, 8065906,"","",,7,"10.1109/RTSI.2017.8065906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034867767&doi=10.1109%2fRTSI.2017.8065906&partnerID=40&md5=edf3e0915b9e5e90c13aa20550d3175a",Conference Paper,"Final",,Scopus,2-s2.0-85034867767
"De Los Rios Perez, S., Paramo Castrillo, M., Abril-Jimenez, P., Montalva-Colomer, J.B., Cabrera-Umpierrez, M.F., Arredondo Waldmeyer, M.T.","55331567100;57197800035;35101327600;42962132800;23395830400;42961027900;","An architecture for combining open-data with sensors' data for effective prevention of MCI and frailty in elderly people",2017,"RTSI 2017 - IEEE 3rd International Forum on Research and Technologies for Society and Industry, Conference Proceedings",,, 8065977,"","",,,"10.1109/RTSI.2017.8065977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034812125&doi=10.1109%2fRTSI.2017.8065977&partnerID=40&md5=a57e8af21c28bb6d8429d1166abf8380",Conference Paper,"Final",,Scopus,2-s2.0-85034812125
"Losiouk, E., Lanzola, G., Galderisi, A., Trevisanuto, D., Steil, G.M., Facchinetti, A., Cobelli, C.","56728909000;6602699444;36664484600;7003986265;7003450963;16189396200;7101795724;","A telemonitoring service supporting preterm newborns care in a neonatal intensive care unit",2017,"RTSI 2017 - IEEE 3rd International Forum on Research and Technologies for Society and Industry, Conference Proceedings",,, 8065890,"","",,,"10.1109/RTSI.2017.8065890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034839359&doi=10.1109%2fRTSI.2017.8065890&partnerID=40&md5=8ed7790c329a533dfc6d8d5b275439df",Conference Paper,"Final",,Scopus,2-s2.0-85034839359
"Chiu, T., Luis, D.C., Jethva, V.","57198803672;57198815833;57198810629;","Internet of things BLE security",2017,"RIIT 2017 - Proceedings of the 6th Annual Conference on Research in Information Technology",,,,"37","",,,"10.1145/3125649.3125656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037126534&doi=10.1145%2f3125649.3125656&partnerID=40&md5=a554e5ec3a366a6cac12003327d73db6",Conference Paper,"Final",,Scopus,2-s2.0-85037126534
"Jiang, W., Liu, R., Liu, L., Li, Z., He, T.","57192650639;57197718196;57197722448;57197720979;14019293900;","Demo: BlueBee: 10, 000x faster cross-technology communication from bluetooth to ZigBee",2017,"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM","Part F131210",,,"486","487",,,"10.1145/3117811.3119855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034036849&doi=10.1145%2f3117811.3119855&partnerID=40&md5=726deca3deb8df77b92d8718031ace4e",Conference Paper,"Final",,Scopus,2-s2.0-85034036849
"Sreeram, M., Sreeja, M.","57197756131;57197759060;","A novel architecture for IoT and smart community",2017,"Proceedings of the International Conference on IoT in Social, Mobile, Analytics and Cloud, I-SMAC 2017",,, 8058398,"486","491",,1,"10.1109/I-SMAC.2017.8058398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034585869&doi=10.1109%2fI-SMAC.2017.8058398&partnerID=40&md5=4dc05fefb6b6aff765cb5100e1f7de28",Conference Paper,"Final",,Scopus,2-s2.0-85034585869
"He, W., Ho, P.-H., Tapolcai, J.","57204699609;7402211578;6506252092;","Beacon Deployment for Unambiguous Positioning",2017,"IEEE Internet of Things Journal","4","5", 7934298,"1370","1379",,13,"10.1109/JIOT.2017.2708719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037029636&doi=10.1109%2fJIOT.2017.2708719&partnerID=40&md5=e93d32a5cfdb3b0681a839d855f77e2b",Article,"Final",,Scopus,2-s2.0-85037029636
"Yoo, S.-S., Lee, K.-Y.","11539000700;8335908000;","Design of 0.68-mW LC-based digitally controlled oscillator (DCO) for bluetooth low energy (BLE) transceiver",2017,"Journal of Semiconductor Technology and Science","17","5",,"611","620",,2,"10.5573/JSTS.2017.17.4.611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032832212&doi=10.5573%2fJSTS.2017.17.4.611&partnerID=40&md5=ef816db820e999f2da14197e60cc9150",Article,"Final",,Scopus,2-s2.0-85032832212
"Jia, Y., Mirbozorgi, S.A., Wang, Z., Hsu, C.-C., Madsen, T.E., Rainnie, D., Ghovanloo, M.","57188740067;15077429400;57188735326;57192917088;55201242300;57207527799;6701322320;","Position and orientation insensitive wireless power transmission for enerCage-homecage system",2017,"IEEE Transactions on Biomedical Engineering","64","10", 7894178,"2439","2449",,5,"10.1109/TBME.2017.2691720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030094229&doi=10.1109%2fTBME.2017.2691720&partnerID=40&md5=01ee0de3b8df1bf1e81bc911817dc91a",Article,"Final",,Scopus,2-s2.0-85030094229
"Gorovyi, I., Roienko, O., Pitertsev, A., Chervonyak, Y., Vovk, V.","36514483700;57197787156;15924001000;57188718813;55855168100;","Framework for real-Time user positioning in GPS denied environments",2017,"2017 Signal Processing Symposium, SPSympo 2017",,, 8053695,"","",,,"10.1109/SPS.2017.8053695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034792067&doi=10.1109%2fSPS.2017.8053695&partnerID=40&md5=9a10b5e362dd5bdf385ea84719db78d0",Conference Paper,"Final",,Scopus,2-s2.0-85034792067
"Vue, M., Ochwangi, T., Thao, M., Peng, A.S., Baltaci, K., Zhan, L.","57196714933;57196740197;57196723401;56763591300;23092871200;13607219600;","Design of a Bluetooth-enabled low energy electrocardiogram monitoring system",2017,"IEEE International Conference on Electro Information Technology",,, 8053359,"223","228",,,"10.1109/EIT.2017.8053359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033708824&doi=10.1109%2fEIT.2017.8053359&partnerID=40&md5=7932215cf9119c3acc8b68c663912978",Conference Paper,"Final",,Scopus,2-s2.0-85033708824
"Nasrollahpour, M., Sreekumar, R., Hajilou, F., Aldacher, M., Hamedi-Hagh, S.","57193160040;57195364649;56768046700;57095060200;14632000700;","Bluetooth low energy (BLE) direct down conversion receiver front end in 65nm CMOS technology",2017,"Proceedings - 2017 1st New Generation of CAS, NGCAS 2017",,, 8052289,"141","144",,2,"10.1109/NGCAS.2017.44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034456079&doi=10.1109%2fNGCAS.2017.44&partnerID=40&md5=ca05c644d72e46b1ced0df8981167079",Conference Paper,"Final",,Scopus,2-s2.0-85034456079
"Griffith, D., Roine, P.T., Kallerud, T., Goodlin, B., Hughes, Z., Yen, E.T.-T.","15753289700;6603072941;55516626800;6602370453;57196328046;57191489012;","A ±10ppm -40 to 125°C BAW-based frequency reference system for crystal-less wireless sensor nodes",2017,"Proceedings - IEEE International Symposium on Circuits and Systems",,, 8050282,"","",,1,"10.1109/ISCAS.2017.8050282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032701397&doi=10.1109%2fISCAS.2017.8050282&partnerID=40&md5=1c1bc7399059321a855050a4c53b4480",Conference Paper,"Final",,Scopus,2-s2.0-85032701397
"Gao, S., Jiang, H., Weng, Z., Guo, Y., Dong, J., Wang, Z.","57188861054;55017666500;56401535400;57195739564;55386552400;55000510700;","A 7.9μA 4-bit 4Msps successive approximation phase-domain ADC for GFSK demodulator",2017,"Proceedings - IEEE International Symposium on Circuits and Systems",,, 8050562,"","",,1,"10.1109/ISCAS.2017.8050562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032660986&doi=10.1109%2fISCAS.2017.8050562&partnerID=40&md5=968a6381419461c1dd47d18b2cefa014",Conference Paper,"Final",,Scopus,2-s2.0-85032660986
"Tuominen, J., Lehtonen, E., Tadi, M.J., Koskinen, J., Pankaala, M., Koivisto, T.","57205713994;24450829200;56567969300;57191912402;8919614400;14632022500;","A miniaturized low power biomedical sensor node for clinical research and long term monitoring of cardiovascular signals",2017,"Proceedings - IEEE International Symposium on Circuits and Systems",,, 8050684,"","",,7,"10.1109/ISCAS.2017.8050684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026443303&doi=10.1109%2fISCAS.2017.8050684&partnerID=40&md5=291d706839d40bf1876d09ee046362b8",Conference Paper,"Final",,Scopus,2-s2.0-85026443303
"Syllaios, I.L.","17436071000;","Hybrid-DPLL-based constant-envelope modulator for Internet-of-Things chipsets",2017,"Proceedings - IEEE International Symposium on Circuits and Systems",,, 8050551,"","",,1,"10.1109/ISCAS.2017.8050551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032658526&doi=10.1109%2fISCAS.2017.8050551&partnerID=40&md5=af3b73888ff29c7220b4e7109ed01123",Conference Paper,"Final",,Scopus,2-s2.0-85032658526
"Kihara, T., Yano, H., Yoshimura, T.","13205260300;57196326419;7402914949;","Design of cascaded integrator-comb decimation filters for direct-RF sampling receivers",2017,"Proceedings - IEEE International Symposium on Circuits and Systems",,, 8050937,"","",,2,"10.1109/ISCAS.2017.8050937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032678613&doi=10.1109%2fISCAS.2017.8050937&partnerID=40&md5=3e6dedd11865825117032c89f2f582e1",Conference Paper,"Final",,Scopus,2-s2.0-85032678613
"De Roux, E., Terosiet, M., Kölbl, F., Histace, A., Romain, O., Boissière, M., Pauthe, E., Chrun, J., Aubert, P.H., Banet, P.","57197747533;54941273900;37013572500;6507053505;7004279535;12775829600;6602603437;57197746278;7006385593;30367500300;","Wireless and Portable System for the Study of in-vitro Cell Culture Impedance Spectrum by Electrical Impedance Spectroscopy",2017,"Proceedings - 20th Euromicro Conference on Digital System Design, DSD 2017",,, 8049825,"456","461",,1,"10.1109/DSD.2017.47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034443501&doi=10.1109%2fDSD.2017.47&partnerID=40&md5=5731f48973524038b2bace377d741735",Conference Paper,"Final",,Scopus,2-s2.0-85034443501
"Park, H., Lee, S., Moon, E., Ahmed, S.H., Kim, D.","57190810694;57202327297;57189029568;55389144500;35753648800;","Performance analysis of bicycle-to-pedestrian safety application using bluetooth low energy",2017,"Proceedings of the 2017 Research in Adaptive and Convergent Systems, RACS 2017","2017-January",,,"160","165",,,"10.1145/3129676.3129727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043334186&doi=10.1145%2f3129676.3129727&partnerID=40&md5=74b6412d0ba33bbc711021bd3bafde66",Conference Paper,"Final",,Scopus,2-s2.0-85043334186
[No author name available],[No author id available],"Proceedings of the 2017 Research in Adaptive and Convergent Systems, RACS 2017",2017,"Proceedings of the 2017 Research in Adaptive and Convergent Systems, RACS 2017","2017-January",,,"","",315,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043682482&partnerID=40&md5=404a1472ca344379ff1a89a2462d5c71",Conference Review,"Final",,Scopus,2-s2.0-85043682482
"Miyagawa, Y., Segawa, N.","57196389926;24466674400;","Construction of indoor location search system using Bluetooth low energy",2017,"Proceedings - 2017 NICOGRAPH International, NICOInt 2017",,, 8047389,"33","36",,,"10.1109/NICOInt.2017.43","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032796007&doi=10.1109%2fNICOInt.2017.43&partnerID=40&md5=58de7522241a307d7f996df6466553c7",Conference Paper,"Final",,Scopus,2-s2.0-85032796007
[No author name available],[No author id available],"Proceedings - 2017 NICOGRAPH International, NICOInt 2017",2017,"Proceedings - 2017 NICOGRAPH International, NICOInt 2017",,,,"","",110,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032812446&partnerID=40&md5=d00342a3e2ebd2296959601c5fe1b0e3",Conference Review,"Final",,Scopus,2-s2.0-85032812446
"Curci, S., Mura, A., Riboni, D.","57195606409;57197337506;6505466404;","Toward naturalistic self-monitoring of medicine intake",2017,"ACM International Conference Proceeding Series","Part F131371",, a3,"","",,,"10.1145/3125571.3125582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034659026&doi=10.1145%2f3125571.3125582&partnerID=40&md5=6b9f42017fa6aad5921bc8fe6b281e05",Conference Paper,"Final",,Scopus,2-s2.0-85034659026
"Maity, S., Das, D., Sen, S.","54585706900;57206574739;24473847600;","Wearable health monitoring using capacitive voltage-mode Human Body Communication",2017,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",,, 8036748,"1","4",,8,"10.1109/EMBC.2017.8036748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028623957&doi=10.1109%2fEMBC.2017.8036748&partnerID=40&md5=f3312ce07fb9a67b06d42543e22ce97b",Conference Paper,"Final",,Scopus,2-s2.0-85028623957
"Sun, X.-C., Tao, W.-J., Zhu, C.-Q., Zhao, L.-L., Wang, M., Lu, X.-Y., Wang, Z.-G., Fan, Z.-N.","57196191895;36667689700;57196187452;57161318400;55553729352;55081107600;8637970200;57189713190;","System design and experimental research of lower esophageal sphincter stimulator for treatment of gastroesophageal reflux disease",2017,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",,, 8037286,"2177","2180",,,"10.1109/EMBC.2017.8037286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032214557&doi=10.1109%2fEMBC.2017.8037286&partnerID=40&md5=aa7c7cf5e73e3272d8f15b8b9b8d86b8",Conference Paper,"Final",,Scopus,2-s2.0-85032214557
"Haagmans, G.G., Verhagen, S., Voûte, R.L., Verbree, E.","57196027139;6603304915;57196019392;56119056300;","A STATISTICAL ANALYSIS on the SYSTEM PERFORMANCE of A BLUETOOTH LOW ENERGY INDOOR POSITIONING SYSTEM in A 3D ENVIRONMENT",2017,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences","4","2W4",,"319","326",,1,"10.5194/isprs-annals-IV-2-W4-319-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031044921&doi=10.5194%2fisprs-annals-IV-2-W4-319-2017&partnerID=40&md5=a79609580fd2f477a75fccc12ab19139",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85031044921
"Jung, G.H., Park, Y.Y., Kim, S.Y., Cho, Y.W.","56494024900;7405371556;57195605531;57195607076;","The study on how to remove the shadow area for WSN based indoor disaster monitoring system",2017,"Cluster Computing",,,,"1","12",,,"10.1007/s10586-017-1106-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029179499&doi=10.1007%2fs10586-017-1106-y&partnerID=40&md5=c509548944c366f0b6e933ef003ab6f6",Article in Press,"Article in Press",,Scopus,2-s2.0-85029179499
"Purta, R., Striegel, A.","55668815900;7003509061;","Estimating dining hall usage using bluetooth low energy beacons",2017,"UbiComp/ISWC 2017 - Adjunct Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers",,,,"518","523",,3,"10.1145/3123024.3124429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030867535&doi=10.1145%2f3123024.3124429&partnerID=40&md5=c9982aa1e4e0850a4a3cbfc3f73b7863",Conference Paper,"Final",,Scopus,2-s2.0-85030867535
"Majewski, C., Perkins, A., Faltz, D., Zhang, F., Zhao, H., Xiao, W.","57196010122;57196003322;57196010142;57196006418;57112867700;36646983000;","Design of a 3D printed insole with embedded plantar pressure sensor arrays",2017,"UbiComp/ISWC 2017 - Adjunct Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers",,,,"261","264",,1,"10.1145/3123024.3123179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030829994&doi=10.1145%2f3123024.3123179&partnerID=40&md5=b27576732da8b869c084886adebf9af0",Conference Paper,"Final",,Scopus,2-s2.0-85030829994
"Urano, K., Hiroi, K., Kaji, K., Kawaguchi, N.","57192380692;56242097800;36989496600;8873031600;","A location estimation method using mobile BLE tags with tandem scanners",2017,"UbiComp/ISWC 2017 - Adjunct Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers",,,,"577","586",,3,"10.1145/3123024.3124405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030830773&doi=10.1145%2f3123024.3124405&partnerID=40&md5=b6639341805ee24fce16d821abe2adf1",Conference Paper,"Final",,Scopus,2-s2.0-85030830773
"Van Rensburg, R.","57193548005;","System Control Applications of Low-Power Radio Frequency Devices",2017,"Journal of Physics: Conference Series","889","1", 012016,"","",,,"10.1088/1742-6596/889/1/012016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032451470&doi=10.1088%2f1742-6596%2f889%2f1%2f012016&partnerID=40&md5=f6cc807e9ed6d388fa4848d7151425b9",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85032451470
"Vollero, L., Sabatini, M.","8579534700;57196402232;","Performance Assessment of BLE Nano BAN Micro-Infrastructures",2017,"Proceedings - International Computer Software and Applications Conference","2",, 8029945,"300","303",,,"10.1109/COMPSAC.2017.187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032872515&doi=10.1109%2fCOMPSAC.2017.187&partnerID=40&md5=4f7ce5299363a15894a0203d4dc53a7f",Conference Paper,"Final",,Scopus,2-s2.0-85032872515
"Langone, M., Setola, R., Lopez, J.","57196403810;6603445785;57010550300;","Cybersecurity of Wearable Devices: An Experimental Analysis and a Vulnerability Assessment Method",2017,"Proceedings - International Computer Software and Applications Conference","2",, 8029946,"304","309",,,"10.1109/COMPSAC.2017.96","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032874263&doi=10.1109%2fCOMPSAC.2017.96&partnerID=40&md5=4d96177fd8983d6e0d7ea030b8d33db2",Conference Paper,"Final",,Scopus,2-s2.0-85032874263
"Cho, H.","35766331800;","Design and implementation of a lightweight smart insole for gait analysis",2017,"Proceedings - 16th IEEE International Conference on Trust, Security and Privacy in Computing and Communications, 11th IEEE International Conference on Big Data Science and Engineering and 14th IEEE International Conference on Embedded Software and Systems, Trustcom/BigDataSE/ICESS 2017",,, 8029517,"792","797",,2,"10.1109/Trustcom/BigDataSE/ICESS.2017.314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032358112&doi=10.1109%2fTrustcom%2fBigDataSE%2fICESS.2017.314&partnerID=40&md5=214c50dc5a17589ad5bea84f843e78b5",Conference Paper,"Final",,Scopus,2-s2.0-85032358112
"Gutierrez del Arroyo, J., Bindewald, J., Graham, S., Rice, M.","49863411500;56394424100;8299605900;36004933200;","Enabling Bluetooth Low Energy auditing through synchronized tracking of multiple connections",2017,"International Journal of Critical Infrastructure Protection","18",,,"58","70",,3,"10.1016/j.ijcip.2017.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018670245&doi=10.1016%2fj.ijcip.2017.03.006&partnerID=40&md5=d90a85087537b981163c5c283bb54198",Article,"Final",,Scopus,2-s2.0-85018670245
"Jeon, W.S., Jeong, D.G.","7006328540;8843335500;","Enhanced Channel Access for Connection State of Bluetooth Low Energy Networks",2017,"IEEE Transactions on Vehicular Technology","66","9", 7866882,"8469","8481",,3,"10.1109/TVT.2017.2675915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029949346&doi=10.1109%2fTVT.2017.2675915&partnerID=40&md5=5b9646e4c2f4d07b4f8004e34246a19c",Article,"Final",,Scopus,2-s2.0-85029949346
"Rondón, R., Gidlund, M., Landernäs, K.","57193013882;25641313800;6508100567;","Evaluating Bluetooth Low Energy Suitability for Time-Critical Industrial IoT Applications",2017,"International Journal of Wireless Information Networks","24","3",,"278","290",,5,"10.1007/s10776-017-0357-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019942832&doi=10.1007%2fs10776-017-0357-0&partnerID=40&md5=833564ef4db235d6316652bd0c825aeb",Article,"Final",Open Access,Scopus,2-s2.0-85019942832
"Del Carpio, L.F., Di Marco, P., Skillermark, P., Chirikov, R., Lagergren, K.","56022641200;35306717900;12783618100;55510952800;57193017732;","Comparison of 802.11ah, BLE and 802.15.4 for a Home Automation Use Case",2017,"International Journal of Wireless Information Networks","24","3",,"243","253",,3,"10.1007/s10776-017-0355-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019744829&doi=10.1007%2fs10776-017-0355-2&partnerID=40&md5=22491f3c0128aabb102ec39b9796f3d0",Article,"Final",,Scopus,2-s2.0-85019744829
"Yoo, S.-S., Lee, K.-Y.","11539000700;8335908000;","A frame-based EM-simulation for design of LC oscillator with MoM capacitor banks",2017,"International Journal of RF and Microwave Computer-Aided Engineering","27","7", e21112,"","",,1,"10.1002/mmce.21112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017638477&doi=10.1002%2fmmce.21112&partnerID=40&md5=3a2ad68efc528a8c536da888728edf03",Article,"Final",,Scopus,2-s2.0-85017638477
"Hernández-Solana, Á., Perez-Diaz-De-Cerio, D., Valdovinos, A., Valenzuela, J.L.","8346582700;57195550496;6602160049;7102896706;","Proposal and evaluation of BLE discovery process based on new features of bluetooth 5.0",2017,"Sensors (Switzerland)","17","9", 1988,"","",,7,"10.3390/s17091988","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028693089&doi=10.3390%2fs17091988&partnerID=40&md5=f97512237947e54f59a418698b1a66f3",Article,"Final",Open Access,Scopus,2-s2.0-85028693089
"Triyason, T., Setthawong, P.","36601739100;36609215800;","Comparing the effect of different smartphone on the accuracy of wi-fi based proximity estimation approaches in an outdoor setting",2017,"Asia-Pacific Journal of Science and Technology","22","3", APST-22-03-09,"","",10,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051230517&partnerID=40&md5=70a2ecff3d5a705a4cfcaa485a2bf3a8",Article,"Final",,Scopus,2-s2.0-85051230517
"Park, Y.-J., Park, J.-H., Kim, H.-J., Ryu, H., Kim, S., Pu, Y., Hwang, K.C., Yang, Y., Lee, M., Lee, K.-Y.","55697640000;57189063789;55671764200;57191334170;7601591340;24605447600;56380923200;7409390330;55716893300;8335908000;","A Design of a 92.4% Efficiency Triple Mode Control DC-DC Buck Converter with Low Power Retention Mode and Adaptive Zero Current Detector for IoT/Wearable Applications",2017,"IEEE Transactions on Power Electronics","32","9", 7733091,"6946","6960",,10,"10.1109/TPEL.2016.2623812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018295802&doi=10.1109%2fTPEL.2016.2623812&partnerID=40&md5=d55155ad911986e8f79dc7ca63954468",Article,"Final",,Scopus,2-s2.0-85018295802
"Ng, P.C., She, J., Park, S.","57191162859;21741495700;16679341600;","Notify-and-interact: A beacon-smartphone interaction for user engagement in galleries",2017,"Proceedings - IEEE International Conference on Multimedia and Expo",,, 8019467,"1069","1074",,6,"10.1109/ICME.2017.8019467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030245250&doi=10.1109%2fICME.2017.8019467&partnerID=40&md5=be2d5ede6c2d1184cecd399138ed4ddf",Conference Paper,"Final",,Scopus,2-s2.0-85030245250
"Rao, A.S., Sharma, A.V., Narayan, C.S.","57196010786;57196002350;57196010762;","A context aware system for an IoT-based smart museum",2017,"2017 2nd International Multidisciplinary Conference on Computer and Energy Science, SpliTech 2017",,, 8019241,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030861032&partnerID=40&md5=dd77d9e8bafa3c6904fa7b5a2fb89aaf",Conference Paper,"Final",,Scopus,2-s2.0-85030861032
"De Blas, A., López-De-Ipiña, D.","57196005701;13006436900;","Improving trilateration for indoors localization using BLE beacons",2017,"2017 2nd International Multidisciplinary Conference on Computer and Energy Science, SpliTech 2017",,, 8019270,"","",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030866491&partnerID=40&md5=37ddcbdd90fd1416ce7cc6c5175dc2f3",Conference Paper,"Final",,Scopus,2-s2.0-85030866491
"Issoufaly, T., Tournoux, P.U.","56770039700;35231738500;","BLEB: Bluetooth Low Energy Botnet for large scale individual tracking",2017,"2017 1st International Conference on Next Generation Computing Applications, NextComp 2017",,, 8016185,"115","120",,2,"10.1109/NEXTCOMP.2017.8016185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030469331&doi=10.1109%2fNEXTCOMP.2017.8016185&partnerID=40&md5=914a621f49844cb586aee63c7cea235d",Conference Paper,"Final",,Scopus,2-s2.0-85030469331
"Prada-Delgado, M.A., Vazquez-Reyes, A., Baturone, I.","56868539100;57194556075;6701567942;","Trustworthy firmware update for Internet-of-Thing Devices using physical unclonable functions",2017,"GIoTS 2017 - Global Internet of Things Summit, Proceedings",,, 8016282,"","",,3,"10.1109/GIOTS.2017.8016282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029286031&doi=10.1109%2fGIOTS.2017.8016282&partnerID=40&md5=303188dd7b63bc1df3c752f9e0b1339c",Conference Paper,"Final",,Scopus,2-s2.0-85029286031
"Chabloz, O., Da Silva Andrade, D., Upegui, A., Satizabal, H.F., Perez-Uribe, A.","57195621216;57195618197;8908130400;24830605300;23393490800;","DiscoveryTree: Relative localization based on multi-hop BLE beacons",2017,"GIoTS 2017 - Global Internet of Things Summit, Proceedings",,, 8016264,"","",,,"10.1109/GIOTS.2017.8016264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029315678&doi=10.1109%2fGIOTS.2017.8016264&partnerID=40&md5=fe73367b3f0b9c3b2451c6f76d4cf6b0",Conference Paper,"Final",,Scopus,2-s2.0-85029315678
[No author name available],[No author id available],"2017 1st International Conference on Next Generation Computing Applications, NextComp 2017",2017,"2017 1st International Conference on Next Generation Computing Applications, NextComp 2017",,,,"","",226,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030457465&partnerID=40&md5=46e76594d7ac3275b4f02899b38d0860",Conference Review,"Final",,Scopus,2-s2.0-85030457465
"Asgarian, F., Najafi, K.","35111019900;7005687893;","Time synchronization in a network of bluetooth low energy beacons",2017,"SIGCOMM Posters and Demos 2017 - Proceedings of the 2017 SIGCOMM Posters and Demos, Part of SIGCOMM 2017",,,,"119","120",,3,"10.1145/3123878.3132007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029674761&doi=10.1145%2f3123878.3132007&partnerID=40&md5=af2c5581c1863f519d4bfc2d6154b4c2",Conference Paper,"Final",,Scopus,2-s2.0-85029674761
"Lu, T.-T., Yeh, S.-C., Chen, C.-Y.","7402684493;8899040700;57195516749;","A study of indoor positioning systems using iBeacons with different transmission power levels",2017,"Journal of the Chinese Institute of Engineers, Transactions of the Chinese Institute of Engineers,Series A/Chung-kuo Kung Ch'eng Hsuch K'an","40","6",,"525","535",,5,"10.1080/02533839.2017.1356692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028553296&doi=10.1080%2f02533839.2017.1356692&partnerID=40&md5=949c7b505e42dce5c53e5dccfcb78dc1",Article,"Final",,Scopus,2-s2.0-85028553296
"Hussein, A.F., Hashim, S.J., Aziz, A.F.A., Rokhani, F.Z., Adnan, W.A.W.","56648241000;55444812700;55821026400;24483802400;6506665562;","A real time ECG data compression scheme for enhanced bluetooth low energy ECG system power consumption",2017,"Journal of Ambient Intelligence and Humanized Computing",,,,"1","14",,8,"10.1007/s12652-017-0560-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037058306&doi=10.1007%2fs12652-017-0560-y&partnerID=40&md5=a04e480101640bb7106e3b88d489dd49",Article in Press,"Article in Press",,Scopus,2-s2.0-85037058306
