Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Fang Y., Liu Q., Zhao Z., Cui L.","The research of plus and play and its intelligent configuration for IoT",2013,"Tien Tzu Hsueh Pao/Acta Electronica Sinica","41","9",,"1744","1752",,1,10.3969/j.issn.0372-2112.2013.09.012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888599879&doi=10.3969%2fj.issn.0372-2112.2013.09.012&partnerID=40&md5=307d1b434a389db2261774d0dd0010e9","Institute of Computing Technology, Chinese Academy of Sciences, Beijing 100190, China; University of Chinese Academy of Sciences, Beijing 100049, China","Fang, Y., Institute of Computing Technology, Chinese Academy of Sciences, Beijing 100190, China, University of Chinese Academy of Sciences, Beijing 100049, China; Liu, Q., Institute of Computing Technology, Chinese Academy of Sciences, Beijing 100190, China; Zhao, Z., Institute of Computing Technology, Chinese Academy of Sciences, Beijing 100190, China; Cui, L., Institute of Computing Technology, Chinese Academy of Sciences, Beijing 100190, China","IoT (Internet of Things) systems are facing more and more challenges, such as increasing network size, diversities of sensors, complexities of protocols and difficulties of management with expansions of its applications. So, we proposed a novel technique of plus and play which provides functions of service discovery, intelligent configuration and service mapping. Beside, we designed a fuzzy adaptive configuration method, named as EasiFLC. Experimental results show that when application's requirements, topologies of sensing layers or wireless channel conditions change, EasiFLC adjusts network parameters dynamically, thus it ensures quality of services with lowest cost, and achieves good environmental adaptability, strong robustness.","Fuzzy control; Gateway; Intelligent configuration; Internet of things; Plus and play","Environmental adaptability; Intelligent configuration; Internet of Things (IOT); Iot( internet of things); Network parameters; Plus and play; Service discovery; Wireless channel condition; Fuzzy control; Internet; Internet protocols; Gateways (computer networks)","Fang, Y.; Institute of Computing Technology, Chinese Academy of Sciences, Beijing 100190, China; email: fangyuan@ict.ac.cn",,,03722112,,TTHPA,,"Chinese","Tien Tzu Hsueh Pao",Article,Scopus,2-s2.0-84888599879
"Su B., Wang G., Zhang J.","Smart home system based on internet of things and Kinect sensor",2013,"Zhongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Central South University (Science and Technology)","44","SUPPL.1",,"181","184",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883009437&partnerID=40&md5=d2619010d36b6c6261d6f56e90d80da0","School of Computer and Information, Anqing Teachers College, Anqing 246133, China; Institute of Intelligent Machines, Chinese Academy of Sciences, Hefei 230031, China; School of Mathematics and Computational Science, Anqing Teachers College, Anqing 246133, China","Su, B., School of Computer and Information, Anqing Teachers College, Anqing 246133, China, Institute of Intelligent Machines, Chinese Academy of Sciences, Hefei 230031, China; Wang, G., Institute of Intelligent Machines, Chinese Academy of Sciences, Hefei 230031, China, School of Mathematics and Computational Science, Anqing Teachers College, Anqing 246133, China; Zhang, J., School of Mathematics and Computational Science, Anqing Teachers College, Anqing 246133, China","To realize the natural intelligent control of smart home, the Kinect depth sensor is introduced to acquire the depth information and construct the system of human skeleton tracking and speech recognition based on the technology of internet of things (IOT). The system can achieve the intelligent control by user-defined gesture manipulation and speech recognition aimed at all kinds of household articles. The corresponding control commands are transmitted by gateway which is connected with ZIGBEE, RS485 and Wi-Fi. The experiment results show that the presented method can implement the somatosensory interaction control for smart home effectively.","Gesture; Intelligent control; Kinect sensor; Smart home; Speech recognition","Depth information; Gesture; Interaction controls; Internet of Things (IOT); Kinect sensors; Smart homes; Smart-home system; User-defined gestures; Gateways (computer networks); Intelligent buildings; Intelligent control; Internet; Sensors; Speech recognition; Automation","Su, B.; School of Computer and Information, Anqing Teachers College, Anqing 246133, China; email: bysu@aqtc.edu.cn",,,16727207,,ZDXZA,,"Chinese","Zhongnan Daxue Xuebao (Ziran Kexue Ban)",Article,Scopus,2-s2.0-84883009437
"Peng J., Wang M.","Wireless remote monitor and control system based on Zigbee and web",2013,"2013 25th Chinese Control and Decision Conference, CCDC 2013",,, 6561584,"3661","3666",,,10.1109/CCDC.2013.6561584,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882780252&doi=10.1109%2fCCDC.2013.6561584&partnerID=40&md5=29ab8c067a72a650ff07d848978a5705","Beijing Institute of Technology, Beijing 100081, China","Peng, J., Beijing Institute of Technology, Beijing 100081, China; Wang, M., Beijing Institute of Technology, Beijing 100081, China","Considering the present development trend of intelligence, convenience and remoteness in equipment monitoring area, our system employs intelligent sensors based on ZigBee wireless communication technology and executable elements, which is integrated with web applications based on network environment such as Internet, 30, to construct a small internet of things capable of monitoring and controlling remotely, warning by messages and making decisions intellectually through web pages. First, connect field sensor elements and executable elements by means of ZigBee wireless module using AODV addressing algorithm. Since the primary node integrates function of transferring RS232 to TCP/IP, it can be used to arrange child node information, connect with small gateway and get access to internet. Next, build the web server. Store information collected into database using a multi-threads server program by interrupts and response mode. Construct B/S mode web service base on php. Finally, clients can simply use internet browser to monitor underlying equipment, which can help make intellectual decisions in emergency and take measures timely. Note that simple system operation, reliable data transmission and great scalability will help our system have a promising future. © 2013 IEEE.","AODV addressing; remote monitoring; Web server; ZigBee wireless network","AODV addressing; Monitoring and controlling; Reliable data transmission; Remote monitor and control; Remote monitoring; Web servers; ZigBee wireless communication; ZigBee wireless networks; Gateways (computer networks); Web services; Websites; Wireless telecommunication systems; Zigbee; Internet","Wang, M.; Beijing Institute of Technology, Beijing 100081, China; email: wangml@bit.edu.cn",,,,9781467355322,,,"English","Chin. Control Decis. Conf., CCDC",Conference Paper,Scopus,2-s2.0-84882780252
"Ben Alla S., Ezzati A.","Throughput and network lifetime maximization in dual-radio sensor networks integrated into the internet of things",2013,"International Review on Computers and Software","8","6",,"1427","1438",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881496911&partnerID=40&md5=de14c4bfe91235cd09d8cc7ef342b701","LAVETE Laboratory, Hassan First University, Settat, Morocco; Department of Mathematics and Computer, Settat, Morocco","Ben Alla, S., LAVETE Laboratory, Hassan First University, Settat, Morocco; Ezzati, A., LAVETE Laboratory, Hassan First University, Settat, Morocco, Department of Mathematics and Computer, Settat, Morocco","Wireless sensor networks (WSNs) constitute a main component of Internet of Things (IoT) that is emerging as an attractive paradigm. In this paper, we propose a novel dual-radio architecture by adding a high-bandwidth radio on every sensor node. In WSNs, each sensor is equipped with two radio interfaces: the low-power IEEE 802.15.4 radio used on all sensors to transmit data within the network and the high-bandwidth 3G /LTE radio activated only on a subset of sensors, referred to as gateways, for sending data to the IoT. given the traffic demand for each sensor nodes, the number of gateways to deploy and the interference model, we propose a novel deployment method for placing optimal number of gateways in the WSNs where sensor nodes can join the IoT through the network's gateway, such that the lifetime and total throughput that can be supported is maximized while it also ensure a fairness among all sensor nodes. Due to the NPhardness of the problem, we then propose a novel heuristic by decomposing the problem into two sub-problems and solving them separately. From our extensive simulation conducted, using ns-2, we identified that our model improves network performance, including the network lifetime prolongation, throughput maximization, network scalability improvement, the average data delivery delay reduction and lead a high traffic load to meet the diverse application needs of WSNs. © 2013 Praise Worthy Prize S.r.l. - All rights reserved.","3G; Gateway; IEEE 802.15.4; Internet of things; Throughput optimization; Wireless sensor networks",,"LAVETE Laboratory, Hassan First University, Settat, Morocco",,,18286003,,,,"English","Int. Rev. Comput. Softw.",Article,Scopus,2-s2.0-84881496911
"Jung M., Weidinger J., Kastner W., Olivieri A.","Building automation and smart cities: An integration approach based on a service-oriented architecture",2013,"Proceedings - 27th International Conference on Advanced Information Networking and Applications Workshops, WAINA 2013",,, 6550585,"1361","1367",,16,10.1109/WAINA.2013.200,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881455588&doi=10.1109%2fWAINA.2013.200&partnerID=40&md5=bb08fa0e5407eb17a4b43685db923be2","Institute of Computer Aided Automation, Vienna University of Technology, Vienna, Austria; L'Institut Informatique de Gestion, Haute Ecole Specialisee de Suisse Occidentale, Sierre, Switzerland","Jung, M., Institute of Computer Aided Automation, Vienna University of Technology, Vienna, Austria; Weidinger, J., Institute of Computer Aided Automation, Vienna University of Technology, Vienna, Austria; Kastner, W., Institute of Computer Aided Automation, Vienna University of Technology, Vienna, Austria; Olivieri, A., L'Institut Informatique de Gestion, Haute Ecole Specialisee de Suisse Occidentale, Sierre, Switzerland","Building automation is a vital part of many use cases related to energy efficiency and smart living in the context of smart cities. State of the art building automation systems like KNX, BACnet or ZigBee are based on control networks mainly used for local control scenarios using non-IP communications. This paper presents an integration approach for building automation systems using an IPv6 enabled service-oriented architecture allowing interconnecting heterogeneous technologies into a large-scale distributed control system. Details on the concept, a proof of concept implementation and performance evaluation results of a multi-protocol gateway are presented, offering a per-device IPv6 interface using a novel CoAP/EXI protocol binding for oBIX. The integration approach aims at providing a homogeneous integration layer that can be used to build advanced control scenarios that might arise in the context of smart cities. © 2013 IEEE.","Home Automation; Internet of Things; IPv6; Web services","Building automation; Building automation systems; Evaluation results; Heterogeneous technology; Home automation; Integration approach; Internet of Things (IOT); IPv6; Electronic commerce; Energy efficiency; Gateways (computer networks); Information services; Integration; Intelligent buildings; Service oriented architecture (SOA); Web services; Internet protocols","Institute of Computer Aided Automation, Vienna University of Technology, Vienna, Austria",,,,9780769549521,,,"English","Proc. - Int. Conf. Adv. Inf. Networking Appl. Workshops, WAINA",Conference Paper,Scopus,2-s2.0-84881455588
"Touati F., Tabish R., Ben Mnaouer A.","Towards u-health: An indoor 6LoWPAN based platform for real-time healthcare monitoring",2013,"Proceedings of 2013 6th Joint IFIP Wireless and Mobile Networking Conference, WMNC 2013",,, 6548958,"","",,9,10.1109/WMNC.2013.6548958,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881472047&doi=10.1109%2fWMNC.2013.6548958&partnerID=40&md5=c04edebc7cad186e4c3cd43497f7ecca","Dept. of Electrical Engineering, Qatar University, Doha, Qatar; School of Engineering, Applied Science and Technology, Canadian University of Dubai, Dubai, United Arab Emirates","Touati, F., Dept. of Electrical Engineering, Qatar University, Doha, Qatar; Tabish, R., Dept. of Electrical Engineering, Qatar University, Doha, Qatar; Ben Mnaouer, A., School of Engineering, Applied Science and Technology, Canadian University of Dubai, Dubai, United Arab Emirates","Ubiquitous healthcare is the key to handle the challenges of the growing population around the world. A variety of u-healthcare systems have been developed using various short-range technologies and proprietary protocols which include Zigbee and bluetooth. With all these protocols, interoperability of smart devices remains a challenge. 6LoWPAN as an open standard has recently evolved to provide one common platform on the top of IEEE802.15.4 for low power devices and to mitigate this interoperability problem. In this paper, we present a novel 6LoWPAN based communication platform for next-generation u-healthcare system. The system integrates three nodes forwarding data to an edge router in order to provide real-time monitoring of the patient's ECG, temperature, and acceleration. A PC connected to the edge router acts as a two-directional Gateway between 6LoWPAN and internet. A new gateway application, listening to UDP packets from the 6LoWPAN nodes via the edge router along with any TCP client request from the internet, is developed. Thereby, any remote PC can connect to the gateway using TCP/IP by just connecting to the IP address and dedicated port of the gateway, fostering then ubiquity as well as Internet of Things. Nevertheless, the user can send instructions to any node where the application running on the gateway translates the command to a particular node. In our case, we used a Labview program to provide this connectivity. The whole system was tested successfully for different ECG rates using an ECG simulator. The received waveforms were found identical to those shown by a high-resolution scope wired to the ECG signals. © 2013 IEEE.","6LoWPAN; IEEE802.15.4; U-Healthcare; WBAN; WSN","6LoWPAN; IEEE 802.15.4; u-Healthcare; WBAN; WSN; Electrocardiography; Health care; Internet; Interoperability; Standards; Transmission control protocol; Gateways (computer networks)","Dept. of Electrical Engineering, Qatar University, Doha, Qatar",,,,9781467356169,,,"English","Proc. Jt. IFIP Wirel. Mob. Networking Conf., WMNC",Conference Paper,Scopus,2-s2.0-84881472047
"Han Y., Li D., Chen J., Wang T., Wang X.","Carrying network accessing architecture and strategy based on business differentiation",2013,"Journal of Networks","8","7",,"1470","1475",,,10.4304/jnw.8.7.1470-1475,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880650101&doi=10.4304%2fjnw.8.7.1470-1475&partnerID=40&md5=6dde0ff4ee43579e20fd5486a7d70220","School of Electronic Information, Wuhan University, Wuhan, China","Han, Y., School of Electronic Information, Wuhan University, Wuhan, China; Li, D., School of Electronic Information, Wuhan University, Wuhan, China; Chen, J., School of Electronic Information, Wuhan University, Wuhan, China; Wang, T., School of Electronic Information, Wuhan University, Wuhan, China; Wang, X., School of Electronic Information, Wuhan University, Wuhan, China","Due to the abilities of real-time sensing and information sharing, Wireless Sensor Network (WSN) has been applied in more and more fields. Basing on the emergence of Internet of Things (IoT), the issue about heterogeneous network integration is becoming more important. We first analyze the new businesses that arise recently for cell phone users as well as the potential effect on carrying network. After that we mainly discuss the influence on traditional carrying network for WSN accessing and taking concurrent businesses as the study case, common access architecture from WSN to carrying network is constructed, which makes use of business differentiation. Furthermore, we propose the idea of tortuous access from WSN to the gateway in the carrying network to avoid congested paths with simulation and verification. Finally, we conclude the possible impacts for the integration of these two networks and present possible solutions. © 2013 ACADEMY PUBLISHER.","Business differentiation; Carrying network; IoT; Tortuous access; WSN","Congested paths; Information sharing; Internet of Things (IOT); IoT; Potential effects; Real time sensing; Tortuous access; WSN; Computer simulation; Gateways (computer networks); Heterogeneous networks; Wireless sensor networks; Network architecture","Han, Y.; School of Electronic Information, Wuhan University, Wuhan, China; email: hanyan4981@163.com",,,17962056,,,,"English","J. Netw.",Article,Scopus,2-s2.0-84880650101
"Kotis K., Katasonov A.","Semantic interoperability on the internet of things: The semantic smart gateway framework",2013,"International Journal of Distributed Systems and Technologies","4","3",,"47","69",,9,10.4018/jdst.2013070104,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893468136&doi=10.4018%2fjdst.2013070104&partnerID=40&md5=579e55b7d4f48aa91bfd7bb28f15d057","VTT Technical Research Centre of Finland, Espoo, Finland","Kotis, K., VTT Technical Research Centre of Finland, Espoo, Finland; Katasonov, A., VTT Technical Research Centre of Finland, Espoo, Finland","Internet of Things should be able to integrate an extremely large amount of distributed and heterogeneous entities. To tackle heterogeneity, these entities will need to be consistently and formally represented and managed (registered, aligned, composed and queried) trough suitable abstraction technologies. Two distinct types of these entities are a) sensing/actuating devices that observe some features of interest or act on some other entities (call it 'smart entities'), and b) applications that utilize the data sensed from or sent to the smart entities (call it 'control entities'). The aim of this paper is to present the Semantic Smart Gateway Framework for supporting semantic interoperability between these types of heterogeneous IoT entities. More specifically, the paper describes an ontology as the key technology for the abstraction and semantic registration of these entities, towards supporting their automated deployment. The paper also described the alignment of IoT entities and of their exchanged messages. More important, the paper presents a use case scenario and a proof-of-concept implementation. Copyright © 2013, IGI Global.","Internet of Things; Ontology; Ontology Alignment; Semantic Interoperability; Semantic Registry","Internet of Things (IOT); Key technologies; Large amounts; Ontology alignment; Proof of concept; Semantic interoperability; Use case scenario; Abstracting; Gateways (computer networks); Interoperability; Ontology; Semantics; Semantic Web","VTT Technical Research Centre of Finland, Espoo, Finland",,,19473532,,,,"English","Int. J. Distrib. Syst. Technol.",Article,Scopus,2-s2.0-84893468136
"Yu H., He J., Zhang T., Xiao P., Zhang Y.","Enabling end-to-end secure communication between wireless sensor networks and the Internet",2013,"World Wide Web","16","4",,"515","540",,12,10.1007/s11280-012-0194-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878920667&doi=10.1007%2fs11280-012-0194-0&partnerID=40&md5=9340048a2a90d45f250e6ceee3247c59","College of Computer Science and Technology, Beijing University of Technology, Beijing, 100124, China; School of Software Engineering, Beijing University of Technology, Beijing, 100124, China","Yu, H., College of Computer Science and Technology, Beijing University of Technology, Beijing, 100124, China; He, J., School of Software Engineering, Beijing University of Technology, Beijing, 100124, China; Zhang, T., College of Computer Science and Technology, Beijing University of Technology, Beijing, 100124, China; Xiao, P., College of Computer Science and Technology, Beijing University of Technology, Beijing, 100124, China; Zhang, Y., College of Computer Science and Technology, Beijing University of Technology, Beijing, 100124, China","In the paradigms of the Internet of Things (IoT) as well as the evolving Web of Things (WoT) and the emerging Wisdom Web of Things (W2T), not only can the data collected by the sensor nodes (i.e., the things) in the wireless sensor networks (WSNs) be transmitted to and processed at Internet nodes and subsequently transformed into information, knowledge, wisdom and eventually into services to serve humans, but human users can also access, control and manage the sensor nodes in the WSNs through nodes in the Internet. Since data are the basis for enabling applications and services in W2T, it becomes imperative that enabling technologies for end-to-end security be developed to secure data communication between Internet user nodes and sensor server nodes to protect the exchange of data. However, traditional security protocols developed for the Internet rely mostly on symmetric authentication and key management based on public key algorithms, thus are deemed to be unsuitable for WSNs due to resource constraints in the sensor nodes. Specifically, acting as the server nodes in this scenario, sensor nodes cannot take on the heavy duty like regular servers in the Internet. Meanwhile, current security mechanisms developed for WSNs have mainly focused on the establishment of keys between neighboring nodes at the link layer and thus are not considered to be effective for end-to-end security in the W2T scenario. In this paper, we propose an end-to-end secure communication scheme for W2T in WSNs in which we follow an asymmetric approach for authentication and key management using signcryption and symmetric key encryption. In our proposed scheme, a great part of the work for authentication and access control is shifted to a gateway between a WSN and the Internet to reduce the burden and energy consumption in the sensor nodes. In addition, our scheme can ensure the privacy of user identities and key negotiation materials, and denial of service (DoS) attacks targeted at the sensor nodes can be effectively blocked at the gateway. We will also conduct quantitative analysis and an experiment to show that our proposed scheme can enhance the effectiveness of end-to-end security while reducing the cost of sensor nodes in terms of computation, communication and storage overhead as well as the latency of handshaking compared to similar schemes that are based on Secure Sockets Layer (SSL) and Transport Layer Security (TLS) protocols. © 2012 Springer Science+Business Media New York.","Internet of things (IoT); security; web of things (WoT); wireless sensor networks (WSNs); wisdom web of things (W2T)","Internet of Things (IOT); security; Web of things; Wireless sensor network (WSNs); Wisdom Web; Authentication; Communication; Digital storage; Energy utilization; Gateways (computer networks); Internet protocols; Network security; Public key cryptography; World Wide Web; Sensor nodes","He, J.; School of Software Engineering, Beijing University of Technology, Beijing, 100124, China; email: jhe@bjut.edu.cn",,,1386145X,,,,"English","World Wide Web",Article,Scopus,2-s2.0-84878920667
"Wen Y., Li Z.","A service-integrated sensor network middleware applied to industrial solutions of IoT related",2013,"Telecommunication Systems","53","1",,"61","68",,1,10.1007/s11235-013-9677-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888011525&doi=10.1007%2fs11235-013-9677-2&partnerID=40&md5=fa4acbc740388a480166ed1af3de73e6","Northeastern University Research, Northeastern University, Shenyang 110000, China; College of Information Science and Engineering, Northeastern University, Shenyang 110000, China","Wen, Y., Northeastern University Research, Northeastern University, Shenyang 110000, China; Li, Z., College of Information Science and Engineering, Northeastern University, Shenyang 110000, China","With the deployment and application of Internet of Things, middleware for sensor network has become an increasingly important factor to facilitate the programmer task and bridge the gap between the applications and the underlying infrastructure. Most existing middleware for sensor networks lack attention for integrating services into a generic architecture and present inflexibility that make them useless in the context of industrial solutions of Internet of Things. To solve this problem, we proposed a new middleware deployment model and present layered and distributed architecture utilizing our ""Ends to the Middle"" approach. Actual application of middleware demonstrates that our proposed architecture is highly modular and efficient, offers good performance in complex application scenarios of Internet of Things. © 2013 Springer Science+Business Media New York.","Architecture; Gateway; Middleware; Sensor networks","Complex applications; Deployment models; Distributed architecture; Generic architecture; Industrial solutions; Internet of Things (IOT); Network middleware; Proposed architectures; Architecture; Bridges; Gateways (computer networks); Internet; Sensor networks; Middleware","Wen, Y.; Northeastern University Research, Northeastern University, Shenyang 110000, China; email: wenyy@neusoft.com",,,10184864,,,,"English","Telecommun. Syst.",Article,Scopus,2-s2.0-84888011525
"Jung M., Weidinger J., Kastner W., Olivieri A.","Heterogeneous device interaction using an IPv6 enabled service-oriented architecture for building automation systems",2013,"Proceedings of the ACM Symposium on Applied Computing",,,,"1939","1941",,4,10.1145/2480362.2480722,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877999439&doi=10.1145%2f2480362.2480722&partnerID=40&md5=3aa900afd1560a6c04116d3b63da9a1d","Institute of Computer Aided Automation, Vienna University of Technology, Treitlstrasse 1-3, 1040 Vienna, Austria; Institut Informatique de Gestion, Haute Ecole Spécialisée de Suisse Occidentale, Techno-Pôle 3, 3960 Sierre, Switzerland","Jung, M., Institute of Computer Aided Automation, Vienna University of Technology, Treitlstrasse 1-3, 1040 Vienna, Austria; Weidinger, J., Institute of Computer Aided Automation, Vienna University of Technology, Treitlstrasse 1-3, 1040 Vienna, Austria; Kastner, W., Institute of Computer Aided Automation, Vienna University of Technology, Treitlstrasse 1-3, 1040 Vienna, Austria; Olivieri, A., Institut Informatique de Gestion, Haute Ecole Spécialisée de Suisse Occidentale, Techno-Pôle 3, 3960 Sierre, Switzerland","Recent research and standardization in the domain of the Internet of Things aims at providing IPv6 and Web services on the most constrained devices. The constrained application protocol (CoAP) allows the deployment of RESTful Web services on limited devices by offering a protocol similar to HTTP that uses UDP as transport layer instead of TCP. This enables more efficient communication if non-reliable, asynchronous or group communication is required. Existing and mature home and building automation technologies like KNX, BACnet or ZigBee are based on non-IP communication and define a complete custom protocol stack. State of the art integration approaches usually offer a centralized Web service interface based on oBIX, OPC UA or BAC-net/WS based on SOAP or RESTful Web services. This paper presents the concept of a gateway that allows the integration of building automation systems into constrained RESTful environments by an IPv6 per-device interface based on oBIX using a novel constrained application protocol binding with efficient XML interchange message encoding. This integration approach provides a service-oriented architecture with uniform interfaces for control scenarios that span heterogeneous technologies. The evaluation results show the efficiency of novel protocol bindings compared to state of the art protocol bindings and message encodings. Performance evaluation results prove that even interactive user control scenarios can be based on these Web service interfaces. Copyright 2013 ACM.","Building automation; Internet of things; IPv6; RESTful Web services","Building automation; Building automation systems; Constrained Application Protocol (CoAP); Heterogeneous technology; Internet of Things (IOT); IPv6; RESTful Web services; State-of-the art protocols; Communication; Encoding (symbols); Gateways (computer networks); HTTP; Hypertext systems; Information services; Integration; Intelligent buildings; Internet; Service oriented architecture (SOA); Transmission control protocol; Websites; Web services","Institute of Computer Aided Automation, Vienna University of Technology, Treitlstrasse 1-3, 1040 Vienna, Austria",,,,9781450316569,,,"English","Proc ACM Symp Appl Computing",Conference Paper,Scopus,2-s2.0-84877999439
"Chen R., Zhou J., Liu C.","Distributed danger assessment model for the internet of things based on immunology",2013,"Research Journal of Applied Sciences, Engineering and Technology","5","22",,"5255","5259",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877910993&partnerID=40&md5=5f1d288596631263633c738299cb64de","School of Computer Science, Sichuan University, Chengdu 610065, China; School of Information Science and Technology, Southwest Jiaotong University, Chengdu 610031, China; Laboratory of Intelligent Information Processing and Application, Leshan Normal University, Leshan 614000, China","Chen, R., School of Computer Science, Sichuan University, Chengdu 610065, China; Zhou, J., School of Computer Science, Sichuan University, Chengdu 610065, China; Liu, C., School of Information Science and Technology, Southwest Jiaotong University, Chengdu 610031, China, Laboratory of Intelligent Information Processing and Application, Leshan Normal University, Leshan 614000, China","The Internet of Things (IoT) confronts complicated and changeful security threats. It harms IoT and brings IoT potential danger. However, the research achievements of the danger assessment technology for IoT are rare. To calculate the danger value of IoT with many dispersive sense nodes, the theoretical model of distributed danger assessment for IoT is explored in this paper. The principles and mechanisms of Artificial Immune System (AIS) are introduced into the proposed model. Data packets in IoT are captured in each gateway and converted into antigens in the simulated immune environment. Detectors use self-learning and self-adaptation mechanisms in AIS to evolve themselves to adapt the local IoT environment and detect security threats. The mechanism of antibody density is simulated to reflect the intensity of security threats which are happening. Through the detected security threats and their intensity, the values of IoT property and security threats' harm are combined to assess the quantitative value of danger for IoT. Theoretical analysis shows that the proposed model is significative of theory and practice. © Maxwell Scientific Organization, 2013.","Artificial immune system; Danger assessment; Internet of things; Security threat",,"Liu, C.; Department of Information Science and Technology, Southwest Jiaotong University, Chengdu 610031, China",,,20407459,,,,"English","Res. J. Appl. Sci. Eng. Technol.",Article,Scopus,2-s2.0-84877910993
"Yu F., Tian B., Zhang X., Wang Q., Yu D., Zhao R.","Perception and management system for building energy consumption based on internet of things technology",2013,"Applied Mechanics and Materials","291-294",,,"945","948",,1,10.4028/www.scientific.net/AMM.291-294.945,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876944561&doi=10.4028%2fwww.scientific.net%2fAMM.291-294.945&partnerID=40&md5=388137d942c4e3a667c92d094610e921","Jiangnan University, Jiangnan Energy Research Institute, Internet of Things Engineering College, No. 1800, Lihu Road, Wuxi City, Jiangsu Province 214122, China","Yu, F., Jiangnan University, Jiangnan Energy Research Institute, Internet of Things Engineering College, No. 1800, Lihu Road, Wuxi City, Jiangsu Province 214122, China; Tian, B., Jiangnan University, Jiangnan Energy Research Institute, Internet of Things Engineering College, No. 1800, Lihu Road, Wuxi City, Jiangsu Province 214122, China; Zhang, X., Jiangnan University, Jiangnan Energy Research Institute, Internet of Things Engineering College, No. 1800, Lihu Road, Wuxi City, Jiangsu Province 214122, China; Wang, Q., Jiangnan University, Jiangnan Energy Research Institute, Internet of Things Engineering College, No. 1800, Lihu Road, Wuxi City, Jiangsu Province 214122, China; Yu, D., Jiangnan University, Jiangnan Energy Research Institute, Internet of Things Engineering College, No. 1800, Lihu Road, Wuxi City, Jiangsu Province 214122, China; Zhao, R., Jiangnan University, Jiangnan Energy Research Institute, Internet of Things Engineering College, No. 1800, Lihu Road, Wuxi City, Jiangsu Province 214122, China","The building energy consumption is one of three in China's energy consumption, the detection and monitoring for energy consumption of building is the basis for the work of building energy efficiency. This article describes a perception, monitoring and management system of building energy consumption based on Internet of Things technology architecture, in the system, various energy instrumentation is installed inside the building and measurement all kinds of energy consumption data in the perception layer, collection daterminal data connected to the RS485 bus access gateway for data transmission via Ethernet or mobile communication network in the network layer and transport layer, deal with the statistical analysis of the energy consumption data in the application layer. The system has been successfully applied to more than 50 large-scale public building to implement energy consumption monitoring and management, and the support of the underlying data for building energy efficiency. © (2013) Trans Tech Publications, Switzerland.","Energy consumption management; Energy consumption monitoring; Energy consumption perception; Energy-saving buildings;building energy consumption; Internet of things","Building energy consumption; Building energy efficiency; Energy consumption monitoring; Internet of Things (IOT); Internet of things technologies; Large-scale public buildings; Mobile communication networks; Monitoring and management systems; Data communication systems; Energy efficiency; Energy utilization; Intelligent buildings; Internet; Network layers; Information management","Yu, F.; Jiangnan University, Jiangnan Energy Research Institute, Internet of Things Engineering College, No. 1800, Lihu Road, Wuxi City, Jiangsu Province 214122, China; email: yufq@jiangnan.edu.cn",,,16609336,9783037856345,,,"English","Appl. Mech. Mater.",Conference Paper,Scopus,2-s2.0-84876944561
[No author name available],"15th International Conference on Advanced Communication Technology: Smart Services with Internet of Things!, ICACT 2013 - Proceeding",2013,"International Conference on Advanced Communication Technology, ICACT",,,,"","",1509,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876207234&partnerID=40&md5=592901ef797d7e3d72d5dd3b8c755798",,"","The proceedings contain 240 papers and 3 PowerPoint presentations. The topics discussed include: RFID-based digital content copy protection system in movie and audio rental agency; a closeness centrality analysis algorithm for workflow-supported social networks; detecting spamming activities by network monitoring with bloom filters; JPEG 2000 wireless image transmission system using encryption domain authentication; security analysis of top visited Arabic web sites; blocking spam sessions with greylisting and block listing based on client behavior; a survey on energy efficient routing techniques in wireless sensor network; comparative analysis of Bayesian regularization and Levenberg-Marquardt training algorithm for localization in wireless sensor network; QoS-based gateway selection in MANET with Internet connectivity; RFID and ZigBee sensor network for ecology observation of seabirds; and pseudo-streaming to PC and iPhone/iPad clients for video surveillance system.",,,,,,17389445,9788996865018,,,"English","Int. Conf. Adv. Commun. Technol. ICACT",Conference Review,Scopus,2-s2.0-84876207234
